Frequency, Amplitude
6346,911621  0,000017
6348,257324  0,000017
6349,603516  0,000017
6350,949219  0,000017
6352,294922  0,000017
6353,640625  0,000017
6354,986328  0,000017
6356,332520  0,000017
6357,678223  0,000017
6359,023926  0,000017
6360,370117  0,000017
6361,715820  0,000017
6363,061523  0,000017
6364,407227  0,000017
6365,752930  0,000017
6367,099121  0,000017
6368,444824  0,000017
6369,790527  0,000017
6371,136719  0,000017
6372,482422  0,000017
6373,828125  0,000017
6375,173828  0,000017
6376,519531  0,000017
6377,865723  0,000017
6379,211426  0,000017
6380,557129  0,000017
6381,903320  0,000017
6383,249023  0,000017
6384,594727  0,000017
6385,940430  0,000017
6387,286133  0,000017
6388,632324  0,000017
6389,978027  0,000017
6391,323730  0,000017
6392,669922  0,000017
6394,015625  0,000017
6395,361328  0,000017
6396,707031  0,000017
6398,052734  0,000017
6399,398926  0,000017
6400,744629  0,000017
6402,090332  0,000017
6403,436523  0,000017
6404,782227  0,000017
6406,127930  0,000017
6407,473633  0,000017
6408,819336  0,000017
6410,165527  0,000017
6411,511230  0,000017
6412,856934  0,000017
6414,203125  0,000017
6415,548828  0,000017
6416,894531  0,000017
6418,240234  0,000017
6419,585938  0,000017
6420,932129  0,000017
6422,277832  0,000017
6423,623535  0,000017
6424,969727  0,000017
6426,315430  0,000017
6427,661133  0,000017
6429,006836  0,000017
6430,352539  0,000017
6431,698730  0,000016
6433,044434  0,000017
6434,390137  0,000017
6435,736328  0,000017
6437,082031  0,000017
6438,427734  0,000017
6439,773438  0,000017
6441,119141  0,000017
6442,465332  0,000017
6443,811035  0,000017
6445,156738  0,000017
6446,502930  0,000017
6447,848633  0,000017
6449,194336  0,000017
6450,540039  0,000017
6451,885742  0,000017
6453,231934  0,000017
6454,577637  0,000017
6455,923340  0,000017
6457,269531  0,000017
6458,615234  0,000017
6459,960938  0,000017
6461,306641  0,000017
6462,652344  0,000016
6463,998535  0,000017
6465,344238  0,000017
6466,689941  0,000017
6468,036133  0,000017
6469,381836  0,000017
6470,727539  0,000017
6472,073242  0,000017
6473,418945  0,000017
6474,765137  0,000017
6476,110840  0,000017
6477,456543  0,000017
6478,802734  0,000017
6480,148438  0,000017
6481,494141  0,000017
6482,839844  0,000017
6484,185547  0,000017
6485,531738  0,000017
6486,877441  0,000017
6488,223145  0,000017
6489,569336  0,000017
6490,915039  0,000017
6492,260742  0,000017
6493,606445  0,000017
6494,952148  0,000017
6496,298340  0,000017
6497,644043  0,000017
6498,989746  0,000017
6500,335938  0,000017
6501,681641  0,000017
6503,027344  0,000017
6504,373047  0,000017
6505,718750  0,000017
6507,064941  0,000017
6508,410645  0,000018
6509,756348  0,000018
6511,102539  0,000021
6512,448242  0,000269
6513,793945  0,000018
6515,139648  0,000016
6516,485352  0,000016
6517,831543  0,000017
6519,177246  0,000016
6520,522949  0,000016
6521,869141  0,000017
6523,214844  0,000016
6524,560547  0,000017
6525,906250  0,000016
6527,251953  0,000016
6528,598145  0,000016
6529,943848  0,000016
6531,289551  0,000016
6532,635742  0,000016
6533,981445  0,000017
6535,327148  0,000016
6536,672852  0,000016
6538,018555  0,000016
6539,364746  0,000016
6540,710449  0,000017
6542,056152  0,000016
6543,402344  0,000017
6544,748047  0,000016
6546,093750  0,000017
6547,439453  0,000016
6548,785156  0,000017
6550,131348  0,000016
6551,477051  0,000017
6552,822754  0,000016
6554,168945  0,000016
6555,514648  0,000016
6556,860352  0,000017
6558,206055  0,000016
6559,551758  0,000016
6560,897949  0,000016
6562,243652  0,000017
6563,589355  0,000016
6564,935547  0,000016
6566,281250  0,000016
6567,626953  0,000017
6568,972656  0,000016
6570,318359  0,000016
6571,664551  0,000017
6573,010254  0,000016
6574,355957  0,000016
6575,702148  0,000016
6577,047852  0,000016
6578,393555  0,000017
6579,739258  0,000016
6581,084961  0,000016
6582,431152  0,000016
6583,776855  0,000016
6585,122559  0,000016
6586,468750  0,000016
6587,814453  0,000016
6589,160156  0,000016
6590,505859  0,000016
6591,851562  0,000016
6593,197754  0,000016
6594,543457  0,000016
6595,889160  0,000016
6597,235352  0,000016
6598,581055  0,000016
6599,926758  0,000016
6601,272461  0,000016
6602,618164  0,000016
6603,964355  0,000016
6605,310059  0,000016
6606,655762  0,000016
6608,001953  0,000016
6609,347656  0,000016
6610,693359  0,000016
6612,039062  0,000016
6613,384766  0,000017
6614,730957  0,000016
6616,076660  0,000016
6617,422363  0,000016
6618,768555  0,000016
6620,114258  0,000016
6621,459961  0,000016
6622,805664  0,000016
6624,151367  0,000016
6625,497559  0,000016
6626,843262  0,000016
6628,188965  0,000016
6629,535156  0,000016
6630,880859  0,000016
6632,226562  0,000016
6633,572266  0,000016
6634,917969  0,000016
6636,264160  0,000016
6637,609863  0,000016
6638,955566  0,000016
6640,301758  0,000016
6641,647461  0,000016
6642,993164  0,000016
6644,338867  0,000016
6645,684570  0,000016
6647,030762  0,000016
6648,376465  0,000016
6649,722168  0,000016
6651,068359  0,000016
6652,414062  0,000016
6653,759766  0,000016
6655,105469  0,000016
6656,451172  0,000016
6657,797363  0,000016
6659,143066  0,000016
6660,488770  0,000016
6661,834961  0,000016
6663,180664  0,000016
6664,526367  0,000016
6665,872070  0,000016
6667,217773  0,000016
6668,563965  0,000016
6669,909668  0,000016
6671,255371  0,000016
6672,601562  0,000016
6673,947266  0,000016
6675,292969  0,000016
6676,638672  0,000016
6677,984375  0,000016
6679,330566  0,000016
6680,676270  0,000016
6682,021973  0,000016
6683,368164  0,000016
6684,713867  0,000016
6686,059570  0,000016
6687,405273  0,000016
6688,750977  0,000016
6690,097168  0,000016
6691,442871  0,000016
6692,788574  0,000016
6694,134766  0,000016
6695,480469  0,000016
6696,826172  0,000016
6698,171875  0,000016
6699,517578  0,000016
6700,863770  0,000016
6702,209473  0,000016
6703,555176  0,000016
6704,901367  0,000016
6706,247070  0,000016
6707,592773  0,000016
6708,938477  0,000016
6710,284180  0,000016
6711,630371  0,000016
6712,976074  0,000016
6714,321777  0,000016
6715,667969  0,000016
6717,013672  0,000016
6718,359375  0,000016
6719,705078  0,000016
6721,050781  0,000016
6722,396973  0,000016
6723,742676  0,000016
6725,088379  0,000016
6726,434570  0,000016
6727,780273  0,000016
6729,125977  0,000016
6730,471680  0,000016
6731,817383  0,000016
6733,163574  0,000016
6734,509277  0,000016
6735,854980  0,000016
6737,201172  0,000016
6738,546875  0,000016
6739,892578  0,000016
6741,238281  0,000016
6742,583984  0,000016
6743,930176  0,000016
6745,275879  0,000016
6746,621582  0,000016
6747,967773  0,000016
6749,313477  0,000016
6750,659180  0,000016
6752,004883  0,000016
6753,350586  0,000016
6754,696777  0,000016
6756,042480  0,000016
6757,388184  0,000016
6758,734375  0,000016
6760,080078  0,000016
6761,425781  0,000016
6762,771484  0,000016
6764,117188  0,000016
6765,463379  0,000016
6766,809082  0,000016
6768,154785  0,000016
6769,500977  0,000016
6770,846680  0,000016
6772,192383  0,000016
6773,538086  0,000016
6774,883789  0,000016
6776,229980  0,000016
6777,575684  0,000016
6778,921387  0,000016
6780,267578  0,000016
6781,613281  0,000016
6782,958984  0,000016
6784,304688  0,000016
6785,650391  0,000016
6786,996582  0,000016
6788,342285  0,000016
6789,687988  0,000016
6791,034180  0,000016
6792,379883  0,000016
6793,725586  0,000016
6795,071289  0,000016
6796,416992  0,000016
6797,763184  0,000016
6799,108887  0,000016
6800,454590  0,000016
6801,800781  0,000016
6803,146484  0,000016
6804,492188  0,000016
6805,837891  0,000016
6807,183594  0,000016
6808,529785  0,000016
6809,875488  0,000016
6811,221191  0,000016
6812,567383  0,000016
6813,913086  0,000016
6815,258789  0,000016
6816,604492  0,000016
6817,950195  0,000016
6819,296387  0,000016
6820,642090  0,000016
6821,987793  0,000016
6823,333984  0,000016
6824,679688  0,000016
6826,025391  0,000016
6827,371094  0,000016
6828,716797  0,000016
6830,062988  0,000016
6831,408691  0,000016
6832,754395  0,000016
6834,100586  0,000016
6835,446289  0,000016
6836,791992  0,000016
6838,137695  0,000016
6839,483398  0,000016
6840,829590  0,000016
6842,175293  0,000016
6843,520996  0,000016
6844,867188  0,000016
6846,212891  0,000016
6847,558594  0,000016
6848,904297  0,000016
6850,250000  0,000016
6851,596191  0,000016
6852,941895  0,000016
6854,287598  0,000016
6855,633789  0,000016
6856,979492  0,000015
6858,325195  0,000016
6859,670898  0,000016
6861,016602  0,000015
6862,362793  0,000016
6863,708496  0,000016
6865,054199  0,000016
6866,400391  0,000016
6867,746094  0,000016
6869,091797  0,000016
6870,437500  0,000016
6871,783203  0,000016
6873,129395  0,000016
6874,475098  0,000016
6875,820801  0,000016
6877,166992  0,000016
6878,512695  0,000015
6879,858398  0,000016
6881,204102  0,000016
6882,549805  0,000016
6883,895996  0,000016
6885,241699  0,000016
6886,587402  0,000016
6887,933594  0,000016
6889,279297  0,000016
6890,625000  0,000016
6891,970703  0,000015
6893,316406  0,000016
6894,662598  0,000016
6896,008301  0,000016
6897,354004  0,000016
6898,700195  0,000016
6900,045898  0,000015
6901,391602  0,000016
6902,737305  0,000016
6904,083008  0,000016
6905,429199  0,000016
6906,774902  0,000016
6908,120605  0,000015
6909,466797  0,000016
6910,812500  0,000016
6912,158203  0,000016
6913,503906  0,000016
6914,849609  0,000016
6916,195801  0,000016
6917,541504  0,000016
6918,887207  0,000016
6920,233398  0,000016
6921,579102  0,000016
6922,924805  0,000016
6924,270508  0,000015
6925,616211  0,000015
6926,962402  0,000016
6928,308105  0,000015
6929,653809  0,000016
6931,000000  0,000015
6932,345703  0,000016
6933,691406  0,000016
6935,037109  0,000016
6936,382812  0,000016
6937,729004  0,000016
6939,074707  0,000015
6940,420410  0,000016
6941,766602  0,000016
6943,112305  0,000016
6944,458008  0,000016
6945,803711  0,000016
6947,149414  0,000015
6948,495605  0,000016
6949,841309  0,000015
6951,187012  0,000016
6952,533203  0,000015
6953,878906  0,000015
6955,224609  0,000015
6956,570312  0,000015
6957,916016  0,000015
6959,262207  0,000016
6960,607910  0,000016
6961,953613  0,000015
6963,299805  0,000016
6964,645508  0,000016
6965,991211  0,000016
6967,336914  0,000016
6968,682617  0,000016
6970,028809  0,000016
6971,374512  0,000016
6972,720215  0,000016
6974,066406  0,000015
6975,412109  0,000015
6976,757812  0,000016
6978,103516  0,000015
6979,449219  0,000015
6980,795410  0,000016
6982,141113  0,000015
6983,486816  0,000015
6984,833008  0,000015
6986,178711  0,000015
6987,524414  0,000015
6988,870117  0,000015
6990,215820  0,000016
6991,562012  0,000015
6992,907715  0,000015
6994,253418  0,000015
6995,599609  0,000016
6996,945312  0,000015
6998,291016  0,000015
6999,636719  0,000015
7000,982422  0,000015
7002,328613  0,000015
7003,674316  0,000015
7005,020020  0,000016
7006,366211  0,000015
7007,711914  0,000016
7009,057617  0,000015
7010,403320  0,000016
7011,749023  0,000016
7013,095215  0,000015
7014,440918  0,000016
7015,786621  0,000015
7017,132812  0,000015
7018,478516  0,000015
7019,824219  0,000015
7021,169922  0,000015
7022,515625  0,000015
7023,861816  0,000016
7025,207520  0,000015
7026,553223  0,000015
7027,899414  0,000015
7029,245117  0,000015
7030,590820  0,000015
7031,936523  0,000015
7033,282227  0,000016
7034,628418  0,000015
7035,974121  0,000016
7037,319824  0,000015
7038,666016  0,000015
7040,011719  0,000015
7041,357422  0,000016
7042,703125  0,000015
7044,048828  0,000015
7045,395020  0,000016
7046,740723  0,000015
7048,086426  0,000015
7049,432617  0,000015
7050,778320  0,000015
7052,124023  0,000015
7053,469727  0,000015
7054,815430  0,000015
7056,161621  0,000015
7057,507324  0,000015
7058,853027  0,000015
7060,199219  0,000015
7061,544922  0,000015
7062,890625  0,000015
7064,236328  0,000015
7065,582031  0,000015
7066,928223  0,000015
7068,273926  0,000015
7069,619629  0,000015
7070,965820  0,000015
7072,311523  0,000015
7073,657227  0,000015
7075,002930  0,000015
7076,348633  0,000016
7077,694824  0,000015
7079,040527  0,000015
7080,386230  0,000015
7081,732422  0,000015
7083,078125  0,000015
7084,423828  0,000015
7085,769531  0,000015
7087,115234  0,000015
7088,461426  0,000015
7089,807129  0,000015
7091,152832  0,000015
7092,499023  0,000015
7093,844727  0,000015
7095,190430  0,000015
7096,536133  0,000016
7097,881836  0,000015
7099,228027  0,000016
7100,573730  0,000015
7101,919434  0,000015
7103,265625  0,000015
7104,611328  0,000015
7105,957031  0,000015
7107,302734  0,000015
7108,648438  0,000015
7109,994629  0,000015
7111,340332  0,000015
7112,686035  0,000016
7114,032227  0,000015
7115,377930  0,000015
7116,723633  0,000015
7118,069336  0,000015
7119,415039  0,000015
7120,761230  0,000015
7122,106934  0,000015
7123,452637  0,000015
7124,798828  0,000015
7126,144531  0,000015
7127,490234  0,000015
7128,835938  0,000015
7130,181641  0,000015
7131,527832  0,000015
7132,873535  0,000015
7134,219238  0,000015
7135,565430  0,000015
7136,911133  0,000015
7138,256836  0,000015
7139,602539  0,000015
7140,948242  0,000015
7142,294434  0,000015
7143,640137  0,000015
7144,985840  0,000015
7146,332031  0,000015
7147,677734  0,000015
7149,023438  0,000015
7150,369141  0,000015
7151,714844  0,000015
7153,061035  0,000015
7154,406738  0,000015
7155,752441  0,000015
7157,098633  0,000015
7158,444336  0,000015
7159,790039  0,000015
7161,135742  0,000015
7162,481445  0,000015
7163,827637  0,000015
7165,173340  0,000015
7166,519043  0,000015
7167,865234  0,000015
7169,210938  0,000015
7170,556641  0,000015
7171,902344  0,000015
7173,248047  0,000015
7174,594238  0,000015
7175,939941  0,000015
7177,285645  0,000015
7178,631836  0,000015
7179,977539  0,000015
7181,323242  0,000015
7182,668945  0,000015
7184,014648  0,000015
7185,360840  0,000015
7186,706543  0,000015
7188,052246  0,000015
7189,398438  0,000015
7190,744141  0,000015
7192,089844  0,000015
7193,435547  0,000015
7194,781250  0,000015
7196,127441  0,000015
7197,473145  0,000015
7198,818848  0,000015
7200,165039  0,000015
7201,510742  0,000016
7202,856445  0,000015
7204,202148  0,000015
7205,547852  0,000015
7206,894043  0,000015
7208,239746  0,000015
7209,585449  0,000015
7210,931641  0,000015
7212,277344  0,000015
7213,623047  0,000015
7214,968750  0,000015
7216,314453  0,000015
7217,660645  0,000015
7219,006348  0,000015
7220,352051  0,000015
7221,698242  0,000015
7223,043945  0,000015
7224,389648  0,000015
7225,735352  0,000015
7227,081055  0,000015
7228,427246  0,000015
7229,772949  0,000015
7231,118652  0,000015
7232,464844  0,000015
7233,810547  0,000015
7235,156250  0,000015
7236,501953  0,000015
7237,847656  0,000015
7239,193848  0,000015
7240,539551  0,000015
7241,885254  0,000015
7243,231445  0,000015
7244,577148  0,000015
7245,922852  0,000015
7247,268555  0,000015
7248,614258  0,000015
7249,960449  0,000015
7251,306152  0,000015
7252,651855  0,000015
7253,998047  0,000015
7255,343750  0,000015
7256,689453  0,000015
7258,035156  0,000015
7259,380859  0,000015
7260,727051  0,000015
7262,072754  0,000015
7263,418457  0,000015
7264,764648  0,000015
7266,110352  0,000015
7267,456055  0,000015
7268,801758  0,000024
7270,147461  0,000015
7271,493652  0,000015
7272,839355  0,000015
7274,185059  0,000015
7275,531250  0,000015
7276,876953  0,000015
7278,222656  0,000015
7279,568359  0,000015
7280,914062  0,000015
7282,260254  0,000015
7283,605957  0,000015
7284,951660  0,000015
7286,297852  0,000015
7287,643555  0,000015
7288,989258  0,000015
7290,334961  0,000015
7291,680664  0,000015
7293,026855  0,000015
7294,372559  0,000015
7295,718262  0,000015
7297,064453  0,000015
7298,410156  0,000015
7299,755859  0,000015
7301,101562  0,000015
7302,447266  0,000015
7303,793457  0,000015
7305,139160  0,000015
7306,484863  0,000015
7307,831055  0,000015
7309,176758  0,000015
7310,522461  0,000015
7311,868164  0,000015
7313,213867  0,000015
7314,560059  0,000015
7315,905762  0,000015
7317,251465  0,000015
7318,597656  0,000015
7319,943359  0,000015
7321,289062  0,000015
7322,634766  0,000015
7323,980469  0,000015
7325,326660  0,000015
7326,672363  0,000015
7328,018066  0,000015
7329,364258  0,000015
7330,709961  0,000015
7332,055664  0,000015
7333,401367  0,000015
7334,747070  0,000015
7336,093262  0,000015
7337,438965  0,000015
7338,784668  0,000015
7340,130859  0,000015
7341,476562  0,000015
7342,822266  0,000015
7344,167969  0,000015
7345,513672  0,000015
7346,859863  0,000015
7348,205566  0,000015
7349,551270  0,000015
7350,897461  0,000014
7352,243164  0,000015
7353,588867  0,000015
7354,934570  0,000015
7356,280273  0,000015
7357,626465  0,000015
7358,972168  0,000015
7360,317871  0,000015
7361,664062  0,000015
7363,009766  0,000015
7364,355469  0,000015
7365,701172  0,000015
7367,046875  0,000015
7368,393066  0,000015
7369,738770  0,000015
7371,084473  0,000015
7372,430664  0,000015
7373,776367  0,000015
7375,122070  0,000014
7376,467773  0,000015
7377,813477  0,000015
7379,159668  0,000015
7380,505371  0,000015
7381,851074  0,000015
7383,197266  0,000015
7384,542969  0,000015
7385,888672  0,000015
7387,234375  0,000015
7388,580078  0,000015
7389,926270  0,000015
7391,271973  0,000015
7392,617676  0,000015
7393,963867  0,000015
7395,309570  0,000015
7396,655273  0,000015
7398,000977  0,000015
7399,346680  0,000015
7400,692871  0,000015
7402,038574  0,000015
7403,384277  0,000015
7404,730469  0,000014
7406,076172  0,000015
7407,421875  0,000015
7408,767578  0,000015
7410,113281  0,000015
7411,459473  0,000015
7412,805176  0,000015
7414,150879  0,000015
7415,497070  0,000015
7416,842773  0,000015
7418,188477  0,000015
7419,534180  0,000015
7420,879883  0,000015
7422,226074  0,000014
7423,571777  0,000015
7424,917480  0,000015
7426,263672  0,000015
7427,609375  0,000015
7428,955078  0,000015
7430,300781  0,000014
7431,646484  0,000015
7432,992676  0,000015
7434,338379  0,000015
7435,684082  0,000014
7437,030273  0,000014
7438,375977  0,000014
7439,721680  0,000014
7441,067383  0,000015
7442,413086  0,000015
7443,759277  0,000015
7445,104980  0,000015
7446,450684  0,000015
7447,796875  0,000015
7449,142578  0,000015
7450,488281  0,000015
7451,833984  0,000015
7453,179688  0,000014
7454,525879  0,000014
7455,871582  0,000015
7457,217285  0,000015
7458,563477  0,000014
7459,909180  0,000015
7461,254883  0,000015
7462,600586  0,000014
7463,946289  0,000015
7465,292480  0,000015
7466,638184  0,000015
7467,983887  0,000014
7469,330078  0,000014
7470,675781  0,000015
7472,021484  0,000015
7473,367188  0,000014
7474,712891  0,000015
7476,059082  0,000015
7477,404785  0,000015
7478,750488  0,000015
7480,096680  0,000014
7481,442383  0,000014
7482,788086  0,000015
7484,133789  0,000014
7485,479492  0,000014
7486,825684  0,000015
7488,171387  0,000014
7489,517090  0,000015
7490,863281  0,000015
7492,208984  0,000014
7493,554688  0,000015
7494,900391  0,000015
7496,246094  0,000014
7497,592285  0,000014
7498,937988  0,000014
7500,283691  0,000015
7501,629883  0,000014
7502,975586  0,000015
7504,321289  0,000015
7505,666992  0,000014
7507,012695  0,000015
7508,358887  0,000015
7509,704590  0,000014
7511,050293  0,000014
7512,396484  0,000014
7513,742188  0,000015
7515,087891  0,000014
7516,433594  0,000014
7517,779297  0,000014
7519,125488  0,000015
7520,471191  0,000015
7521,816895  0,000014
7523,163086  0,000014
7524,508789  0,000014
7525,854492  0,000014
7527,200195  0,000014
7528,545898  0,000014
7529,892090  0,000014
7531,237793  0,000014
7532,583496  0,000014
7533,929688  0,000015
7535,275391  0,000014
7536,621094  0,000014
7537,966797  0,000015
7539,312500  0,000014
7540,658691  0,000014
7542,004395  0,000014
7543,350098  0,000014
7544,696289  0,000014
7546,041992  0,000014
7547,387695  0,000014
7548,733398  0,000014
7550,079102  0,000014
7551,425293  0,000014
7552,770996  0,000014
7554,116699  0,000014
7555,462891  0,000014
7556,808594  0,000014
7558,154297  0,000014
7559,500000  0,000014
7560,845703  0,000014
7562,191895  0,000014
7563,537598  0,000014
7564,883301  0,000014
7566,229492  0,000014
7567,575195  0,000014
7568,920898  0,000014
7570,266602  0,000014
7571,612305  0,000014
7572,958496  0,000014
7574,304199  0,000014
7575,649902  0,000014
7576,996094  0,000014
7578,341797  0,000014
7579,687500  0,000015
7581,033203  0,000014
7582,378906  0,000014
7583,725098  0,000014
7585,070801  0,000014
7586,416504  0,000015
7587,762695  0,000014
7589,108398  0,000014
7590,454102  0,000014
7591,799805  0,000014
7593,145508  0,000014
7594,491699  0,000014
7595,837402  0,000014
7597,183105  0,000014
7598,529297  0,000014
7599,875000  0,000014
7601,220703  0,000014
7602,566406  0,000014
7603,912109  0,000014
7605,258301  0,000014
7606,604004  0,000015
7607,949707  0,000014
7609,295898  0,000014
7610,641602  0,000014
7611,987305  0,000014
7613,333008  0,000013
7614,678711  0,000014
7616,024902  0,000014
7617,370605  0,000014
7618,716309  0,000014
7620,062500  0,000014
7621,408203  0,000014
7622,753906  0,000014
7624,099609  0,000014
7625,445312  0,000014
7626,791504  0,000014
7628,137207  0,000014
7629,482910  0,000014
7630,829102  0,000014
7632,174805  0,000014
7633,520508  0,000014
7634,866211  0,000014
7636,211914  0,000014
7637,558105  0,000014
7638,903809  0,000014
7640,249512  0,000014
7641,595703  0,000014
7642,941406  0,000014
7644,287109  0,000014
7645,632812  0,000014
7646,978516  0,000014
7648,324707  0,000014
7649,670410  0,000014
7651,016113  0,000014
7652,362305  0,000014
7653,708008  0,000014
7655,053711  0,000014
7656,399414  0,000014
7657,745117  0,000014
7659,091309  0,000014
7660,437012  0,000014
7661,782715  0,000014
7663,128906  0,000014
7664,474609  0,000014
7665,820312  0,000014
7667,166016  0,000014
7668,511719  0,000014
7669,857910  0,000014
7671,203613  0,000014
7672,549316  0,000014
7673,895508  0,000014
7675,241211  0,000014
7676,586914  0,000014
7677,932617  0,000014
7679,278320  0,000014
7680,624512  0,000014
7681,970215  0,000014
7683,315918  0,000014
7684,662109  0,000014
7686,007812  0,000014
7687,353516  0,000014
7688,699219  0,000014
7690,044922  0,000014
7691,391113  0,000014
7692,736816  0,000014
7694,082520  0,000014
7695,428711  0,000014
7696,774414  0,000014
7698,120117  0,000014
7699,465820  0,000014
7700,811523  0,000014
7702,157715  0,000014
7703,503418  0,000014
7704,849121  0,000014
7706,195312  0,000014
7707,541016  0,000014
7708,886719  0,000014
7710,232422  0,000014
7711,578125  0,000014
7712,924316  0,000014
7714,270020  0,000014
7715,615723  0,000014
7716,961914  0,000014
7718,307617  0,000014
7719,653320  0,000014
7720,999023  0,000014
7722,344727  0,000014
7723,690918  0,000014
7725,036621  0,000014
7726,382324  0,000014
7727,728516  0,000014
7729,074219  0,000014
7730,419922  0,000014
7731,765625  0,000014
7733,111328  0,000014
7734,457520  0,000014
7735,803223  0,000014
7737,148926  0,000014
7738,495117  0,000014
7739,840820  0,000014
7741,186523  0,000014
7742,532227  0,000014
7743,877930  0,000014
7745,224121  0,000014
7746,569824  0,000014
7747,915527  0,000014
7749,261719  0,000014
7750,607422  0,000014
7751,953125  0,000014
7753,298828  0,000014
7754,644531  0,000014
7755,990723  0,000014
7757,336426  0,000014
7758,682129  0,000014
7760,028320  0,000014
7761,374023  0,000014
7762,719727  0,000014
7764,065430  0,000014
7765,411133  0,000014
7766,757324  0,000014
7768,103027  0,000014
7769,448730  0,000014
7770,794922  0,000014
7772,140625  0,000014
7773,486328  0,000014
7774,832031  0,000014
7776,177734  0,000014
7777,523926  0,000014
7778,869629  0,000014
7780,215332  0,000014
7781,561523  0,000014
7782,907227  0,000014
7784,252930  0,000014
7785,598633  0,000014
7786,944336  0,000014
7788,290527  0,000014
7789,636230  0,000014
7790,981934  0,000014
7792,328125  0,000014
7793,673828  0,000014
7795,019531  0,000014
7796,365234  0,000014
7797,710938  0,000014
7799,057129  0,000014
7800,402832  0,000014
7801,748535  0,000014
7803,094727  0,000014
7804,440430  0,000014
7805,786133  0,000014
7807,131836  0,000014
7808,477539  0,000014
7809,823730  0,000014
7811,169434  0,000014
7812,515137  0,000014
7813,861328  0,000014
7815,207031  0,000014
7816,552734  0,000014
7817,898438  0,000014
7819,244141  0,000014
7820,590332  0,000014
7821,936035  0,000014
7823,281738  0,000014
7824,627930  0,000014
7825,973633  0,000014
7827,319336  0,000014
7828,665039  0,000014
7830,010742  0,000014
7831,356934  0,000014
7832,702637  0,000014
7834,048340  0,000014
7835,394531  0,000014
7836,740234  0,000014
7838,085938  0,000014
7839,431641  0,000014
7840,777344  0,000014
7842,123535  0,000014
7843,469238  0,000014
7844,814941  0,000014
7846,161133  0,000014
7847,506836  0,000014
7848,852539  0,000014
7850,198242  0,000014
7851,543945  0,000014
7852,890137  0,000014
7854,235840  0,000014
7855,581543  0,000014
7856,927734  0,000014
7858,273438  0,000014
7859,619141  0,000014
7860,964844  0,000014
7862,310547  0,000014
7863,656738  0,000014
7865,002441  0,000014
7866,348145  0,000014
7867,694336  0,000014
7869,040039  0,000014
7870,385742  0,000014
7871,731445  0,000014
7873,077148  0,000014
7874,423340  0,000014
7875,769043  0,000014
7877,114746  0,000014
7878,460938  0,000014
7879,806641  0,000014
7881,152344  0,000014
7882,498047  0,000014
7883,843750  0,000014
7885,189941  0,000014
7886,535645  0,000014
7887,881348  0,000014
7889,227539  0,000014
7890,573242  0,000013
7891,918945  0,000014
7893,264648  0,000014
7894,610352  0,000014
7895,956543  0,000014
7897,302246  0,000014
7898,647949  0,000014
7899,994141  0,000014
7901,339844  0,000014
7902,685547  0,000014
7904,031250  0,000014
7905,376953  0,000014
7906,723145  0,000014
7908,068848  0,000014
7909,414551  0,000014
7910,760742  0,000014
7912,106445  0,000014
7913,452148  0,000014
7914,797852  0,000014
7916,143555  0,000014
7917,489746  0,000014
7918,835449  0,000014
7920,181152  0,000014
7921,527344  0,000014
7922,873047  0,000014
7924,218750  0,000014
7925,564453  0,000014
7926,910156  0,000014
7928,256348  0,000014
7929,602051  0,000014
7930,947754  0,000014
7932,293945  0,000014
7933,639648  0,000014
7934,985352  0,000014
7936,331055  0,000014
7937,676758  0,000014
7939,022949  0,000014
7940,368652  0,000014
7941,714355  0,000014
7943,060547  0,000014
7944,406250  0,000014
7945,751953  0,000014
7947,097656  0,000014
7948,443359  0,000014
7949,789551  0,000014
7951,135254  0,000014
7952,480957  0,000014
7953,827148  0,000014
7955,172852  0,000014
7956,518555  0,000014
7957,864258  0,000013
7959,209961  0,000014
7960,556152  0,000014
7961,901855  0,000014
7963,247559  0,000014
7964,593750  0,000014
7965,939453  0,000014
7967,285156  0,000013
7968,630859  0,000014
7969,976562  0,000014
7971,322754  0,000014
7972,668457  0,000014
7974,014160  0,000014
7975,360352  0,000014
7976,706055  0,000014
7978,051758  0,000014
7979,397461  0,000014
7980,743164  0,000014
7982,089355  0,000014
7983,435059  0,000014
7984,780762  0,000014
7986,126953  0,000014
7987,472656  0,000014
7988,818359  0,000014
7990,164062  0,000014
7991,509766  0,000014
7992,855957  0,000014
7994,201660  0,000014
7995,547363  0,000014
7996,893555  0,000014
7998,239258  0,000014
7999,584961  0,000014
8000,930664  0,000014
8002,276367  0,000014
8003,622559  0,000014
8004,968262  0,000014
8006,313965  0,000014
8007,660156  0,000014
8009,005859  0,000014
8010,351562  0,000014
8011,697266  0,000014
8013,042969  0,000014
8014,389160  0,000014
8015,734863  0,000014
8017,080566  0,000014
8018,426758  0,000014
8019,772461  0,000014
8021,118164  0,000014
8022,463867  0,000014
8023,809570  0,000014
8025,155762  0,000014
8026,501465  0,000014
8027,847168  0,000014
8029,193359  0,000014
8030,539062  0,000014
8031,884766  0,000014
8033,230469  0,000014
8034,576172  0,000014
8035,922363  0,000014
8037,268066  0,000014
8038,613770  0,000014
8039,959961  0,000014
8041,305664  0,000014
8042,651367  0,000014
8043,997070  0,000014
8045,342773  0,000014
8046,688965  0,000014
8048,034668  0,000014
8049,380371  0,000013
8050,726562  0,000014
8052,072266  0,000014
8053,417969  0,000013
8054,763672  0,000014
8056,109375  0,000014
